pair,aspect,in_window_bars,rate_in,lift,binomial_p,random_p,holdout_in_bars,holdout_lift,bh_significant
mars-neptune,90.0,92,0.5869565217391305,0.9280575539568346,0.8445242967820434,0.8557213930348259,0,,False
venus-pluto,60.0,53,0.5849056603773585,0.9248148650890609,0.8060792773298254,0.8109452736318408,32,1.0569509345794392,False
moon-uranus,90.0,36,0.5833333333333334,0.9223288036237678,0.7851028636520392,0.7960199004975125,10,1.2884735202492212,False
moon-saturn,150.0,36,0.5833333333333334,0.9223288036237678,0.7851028636520392,0.8109452736318408,8,1.006619937694704,False
moon-mercury,60.0,36,0.5833333333333334,0.9223288036237678,0.7851028636520392,0.8258706467661692,11,0.4392523364485981,False
moon-jupiter,135.0,36,0.5833333333333334,0.9223288036237678,0.7851028636520392,0.8507462686567164,7,0.6902536715620827,False
sun-pluto,60.0,36,0.5833333333333334,0.9223288036237678,0.7851028636520392,0.7910447761194029,12,1.2079439252336448,False
venus-mars,0.0,79,0.5822784810126582,0.9206609396027482,0.8510902732265686,0.8507462686567164,13,1.6105919003115265,False
sun-saturn,90.0,31,0.5806451612903226,0.9180784404734278,0.785333181961966,0.7860696517412935,7,1.3805073431241655,False
venus-saturn,45.0,31,0.5806451612903226,0.9180784404734278,0.785333181961966,0.7910447761194029,11,0.8785046728971962,False
venus-mars,60.0,68,0.5735294117647058,0.9068274791931161,0.8709991173975755,0.8756218905472637,14,0.0,False
mercury-uranus,150.0,35,0.5714285714285714,0.9035057668151194,0.8228738952648933,0.8308457711442786,4,1.6105919003115265,False
moon-mercury,0.0,35,0.5714285714285714,0.9035057668151194,0.8228738952648933,0.845771144278607,8,0.8052959501557633,False
sun-mars,45.0,53,0.5660377358490566,0.8949821275055427,0.8733439873294055,0.8855721393034826,0,,False
mars-pluto,150.0,69,0.5652173913043478,0.8936850519584333,0.8992955015601783,0.9104477611940298,0,,False
jupiter-pluto,60.0,78,0.5641025641025641,0.8919223595482589,0.9134235740014303,0.9253731343283582,0,,False
sun-neptune,0.0,39,0.5641025641025641,0.8919223595482589,0.8532526019992293,0.8507462686567164,13,0.4955667385573928,False
venus-neptune,30.0,32,0.5625,0.8893884892086331,0.842404386089,0.8059701492537313,11,1.3177570093457944,False
moon-neptune,0.0,32,0.5625,0.8893884892086331,0.842404386089,0.7910447761194029,7,1.1504227859368048,False
sun-jupiter,30.0,41,0.5609756097560976,0.8869782223002087,0.8662521055964908,0.8805970149253731,8,1.2079439252336448,False
sun-venus,45.0,214,0.5607476635514018,0.8866178085568928,0.986978095239735,0.9950248756218906,67,0.9615474031710606,False
mars-uranus,90.0,34,0.5588235294117647,0.8835754925471389,0.857000240145663,0.835820895522388,12,0.8052959501557633,False
jupiter-neptune,45.0,147,0.5578231292517006,0.8819937247480927,0.9740914715797525,0.9850746268656716,0,,False
jupiter-uranus,30.0,36,0.5555555555555556,0.8784083844035884,0.8700876847809608,0.8656716417910447,36,0.8947732779508482,False
