pair,aspect,in_window_bars,rate_in,lift,binomial_p,random_p,holdout_in_bars,holdout_lift,bh_significant
mercury-neptune,30.0,142,0.6267605633802817,1.2221006843162856,0.004080380699147998,0.004975124378109453,28,0.8756960153123369,False
venus-saturn,180.0,100,0.62,1.2089184746877053,0.02009201076132743,0.03980099502487562,18,1.4669779401813505,False
mars-jupiter,90.0,207,0.6183574879227053,1.2057157921149002,0.0014339317959963795,0.004975124378109453,50,1.3580024360535932,True
moon-saturn,45.0,120,0.6166666666666667,1.202418912995836,0.01416621331458851,0.014925373134328358,27,1.3272657554021743,False
sun-saturn,0.0,164,0.6158536585365854,1.2008336540465996,0.005056148101398124,0.009950248756218905,56,1.3472246389420568,False
jupiter-saturn,0.0,44,0.6136363636363636,1.196510220548682,0.11740661339603542,0.09950248756218906,0,,False
venus-jupiter,30.0,119,0.6134453781512605,1.1961378239658782,0.0173641447781888,0.029850746268656716,23,0.7380448022030398,False
mars-uranus,45.0,139,0.6115107913669064,1.192365634119923,0.012203236356305311,0.009950248756218905,0,,False
mars-jupiter,30.0,87,0.6091954022988506,1.1878509298933702,0.045006832067438954,0.03980099502487562,0,,False
mars-uranus,30.0,288,0.6076388888888888,1.1848159334136896,0.0007565915358888298,0.004975124378109453,0,,True
mars-pluto,45.0,94,0.6063829787234043,1.1823670737336858,0.04311039458485358,0.07462686567164178,31,1.1560056579309261,False
venus-neptune,45.0,124,0.6048387096774194,1.179355952153719,0.02468264953583973,0.024875621890547265,43,1.1843044500467381,False
venus-mars,30.0,225,0.6044444444444445,1.178587186792315,0.0035540327041901007,0.009950248756218905,53,1.1387861098981913,False
mars-saturn,120.0,454,0.6035242290748899,1.1767928878230471,6.32013616196903e-05,0.004975124378109453,189,1.1675946870831158,True
mercury-uranus,0.0,83,0.6024096385542169,1.174619582867961,0.06353228080134309,0.05472636815920398,23,1.1480696923158398,False
mars-neptune,0.0,98,0.6020408163265306,1.173900428021307,0.047517931356366026,0.07462686567164178,32,0.8841161693057247,False
jupiter-uranus,45.0,231,0.6017316017316018,1.1732975002205772,0.004074447030912124,0.009950248756218905,231,1.1349346958360358,False
mercury-neptune,180.0,125,0.6,1.169921104536489,0.031105818379601094,0.03482587064676617,14,0.9430572472594396,False
sun-mars,90.0,105,0.6,1.169921104536489,0.04522943567949766,0.03980099502487562,0,,False
mercury-mars,120.0,150,0.6,1.169921104536489,0.019716769123182987,0.014925373134328358,0,,False
sun-neptune,30.0,152,0.5986842105263158,1.1673554880791723,0.020591859840758404,0.03980099502487562,51,1.3683575744548733,False
moon-neptune,30.0,122,0.5983606557377049,1.1667245987863895,0.035657055462611185,0.03980099502487562,29,1.1706917552186147,False
jupiter-pluto,90.0,102,0.5980392156862745,1.1660978329530365,0.05200292985833613,0.05970149253731343,0,,False
mercury-neptune,90.0,194,0.5927835051546392,1.155849888502545,0.01534191483450095,0.024875621890547265,12,1.8861144945188792,False
sun-moon,30.0,135,0.5925925925925926,1.1554776341101125,0.03824938582437248,0.024875621890547265,33,1.200254678330196,False
sun-saturn,90.0,130,0.5923076923076923,1.1549221160167904,0.04196144834687789,0.05472636815920398,26,1.305771573128455,False
sun-pluto,30.0,147,0.5918367346938775,1.154003810597217,0.033068381703192574,0.024875621890547265,49,1.1162718436948469,False
sun-pluto,90.0,149,0.5906040268456376,1.151600192384911,0.034321448786970805,0.04477611940298507,50,1.2448355663824604,False
mars-uranus,150.0,105,0.5904761904761905,1.151350928274005,0.06730505630784077,0.08955223880597014,35,1.0777797111536453,False
moon-uranus,150.0,134,0.5895522388059702,1.1495493440097344,0.04520944427250909,0.03980099502487562,37,0.9175692135497251,False
mercury-uranus,135.0,129,0.5891472868217055,1.1487597408885424,0.049609245908575954,0.04477611940298507,14,0.5388898555768227,False
sun-saturn,60.0,138,0.5869565217391305,1.1444880370465655,0.04851236572968317,0.05472636815920398,31,1.581902479273899,False
moon-neptune,150.0,135,0.5851851851851851,1.1410341636837362,0.05502809815470188,0.03980099502487562,33,1.028789724283025,False
mercury-pluto,150.0,89,0.5842696629213483,1.13924901565351,0.10693843802482875,0.12437810945273632,12,1.571762078765733,False
mars-saturn,45.0,67,0.582089552238806,1.1349980864906237,0.1558623472836962,0.17412935323383086,0,,False
mars-saturn,150.0,129,0.5813953488372093,1.1336444811400088,0.07059678611134274,0.06467661691542288,46,1.1890721813271197,False
